DATE,TCMILBSNNCB
1945-10-01,44.653
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,49.889
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,56.78
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,62.811
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,64.394
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,70.439
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,78.868
1952-01-01,79.768
1952-04-01,80.77
1952-07-01,82.528
1952-10-01,85.098
1953-01-01,86.504
1953-04-01,87.354
1953-07-01,88.338
1953-10-01,89.252
1954-01-01,90.165
1954-04-01,90.151
1954-07-01,91.166
1954-10-01,92.843
1955-01-01,93.72
1955-04-01,95.386
1955-07-01,96.873
1955-10-01,101.216
1956-01-01,103.603
1956-04-01,105.982
1956-07-01,107.756
1956-10-01,110.961
1957-01-01,113.545
1957-04-01,116.337
1957-07-01,117.824
1957-10-01,120.632
1958-01-01,122.358
1958-04-01,123.271
1958-07-01,124.277
1958-10-01,127.965
1959-01-01,128.85
1959-04-01,131.925
1959-07-01,132.897
1959-10-01,136.645
1960-01-01,138.74
1960-04-01,141.401
1960-07-01,141.921
1960-10-01,145.592
1961-01-01,145.527
1961-04-01,147.691
1961-07-01,148.366
1961-10-01,152.987
1962-01-01,153.763
1962-04-01,157.22
1962-07-01,158.722
1962-10-01,163.466
1963-01-01,164.731
1963-04-01,167.54
1963-07-01,168.693
1963-10-01,174.184
1964-01-01,175.70
1964-04-01,179.699
1964-07-01,181.90
1964-10-01,187.925
1965-01-01,192.273
1965-04-01,197.852
1965-07-01,201.135
1965-10-01,208.193
1966-01-01,213.609
1966-04-01,222.314
1966-07-01,226.596
1966-10-01,232.924
1967-01-01,238.652
1967-04-01,246.017
1967-07-01,249.541
1967-10-01,255.245
1968-01-01,262.494
1968-04-01,270.201
1968-07-01,275.653
1968-10-01,286.074
1969-01-01,293.156
1969-04-01,303.729
1969-07-01,309.856
1969-10-01,318.879
1970-01-01,338.219
1970-04-01,350.546
1970-07-01,356.114
1970-10-01,363.384
1971-01-01,369.808
1971-04-01,379.216
1971-07-01,385.805
1971-10-01,392.236
1972-01-01,401.32
1972-04-01,411.591
1972-07-01,417.754
1972-10-01,431.815
1973-01-01,444.395
1973-04-01,461.70
1973-07-01,478.311
1973-10-01,497.437
1974-01-01,510.112
1974-04-01,529.498
1974-07-01,538.898
1974-10-01,553.066
1975-01-01,556.872
1975-04-01,562.793
1975-07-01,564.877
1975-10-01,572.665
1976-01-01,576.041
1976-04-01,589.478
1976-07-01,597.899
1976-10-01,614.346
1977-01-01,630.583
1977-04-01,649.968
1977-07-01,663.882
1977-10-01,690.322
1978-01-01,709.545
1978-04-01,733.612
1978-07-01,745.062
1978-10-01,766.056
1979-01-01,789.221
1979-04-01,815.2
1979-07-01,834.716
1979-10-01,851.772
1980-01-01,875.36
1980-04-01,880.924
1980-07-01,892.508
1980-10-01,919.612
1981-01-01,936.893
1981-04-01,977.133
1981-07-01,1014.01
1981-10-01,1038.68
1982-01-01,1069.68
1982-04-01,1099.614
1982-07-01,1120.252
1982-10-01,1129.934
1983-01-01,1160.659
1983-04-01,1184.512
1983-07-01,1208.211
1983-10-01,1247.243
1984-01-01,1291.913
1984-04-01,1351.459
1984-07-01,1390.242
1984-10-01,1457.968
1985-01-01,1486.296
1985-04-01,1527.269
1985-07-01,1558.453
1985-10-01,1638.943
1986-01-01,1682.974
1986-04-01,1741.673
1986-07-01,1787.703
1986-10-01,1864.487
1987-01-01,1909.473
1987-04-01,1956.392
1987-07-01,1994.716
1987-10-01,2051.545
1988-01-01,2105.69
1988-04-01,2164.293
1988-07-01,2195.978
1988-10-01,2265.205
1989-01-01,2324.462
1989-04-01,2386.668
1989-07-01,2406.847
1989-10-01,2455.221
1990-01-01,2512.026
1990-04-01,2551.437
1990-07-01,2571.285
1990-10-01,2585.389
1991-01-01,2578.249
1991-04-01,2581.51
1991-07-01,2559.824
1991-10-01,2526.64
1992-01-01,2546.954
1992-04-01,2550.152
1992-07-01,2546.442
1992-10-01,2545.0
1993-01-01,2589.383
1993-04-01,2631.538
1993-07-01,2658.548
1993-10-01,2690.672
1994-01-01,2766.829
1994-04-01,2810.992
1994-07-01,2841.769
1994-10-01,2888.046
1995-01-01,2958.875
1995-04-01,3026.151
1995-07-01,3046.283
1995-10-01,3094.985
1996-01-01,3142.037
1996-04-01,3198.152
1996-07-01,3226.21
1996-10-01,3244.363
1997-01-01,3310.745
1997-04-01,3377.646
1997-07-01,3456.178
1997-10-01,3521.074
1998-01-01,3635.308
1998-04-01,3757.724
1998-07-01,3824.508
1998-10-01,3911.246
1999-01-01,4043.749
1999-04-01,4119.459
1999-07-01,4255.977
1999-10-01,4312.445
2000-01-01,4442.249
2000-04-01,4557.932
2000-07-01,4607.534
2000-10-01,4655.563
2001-01-01,4674.643
2001-04-01,4744.562
2001-07-01,4764.526
2001-10-01,4778.529
2002-01-01,4788.218
2002-04-01,4781.044
2002-07-01,4768.497
2002-10-01,4783.302
2003-01-01,4776.403
2003-04-01,4782.371
2003-07-01,4801.731
2003-10-01,4787.305
2004-01-01,4860.36
2004-04-01,4871.214
2004-07-01,4917.643
2004-10-01,4977.18
2005-01-01,5024.388
2005-04-01,5100.517
2005-07-01,5149.306
2005-10-01,5245.814
2006-01-01,5327.525
2006-04-01,5446.24
2006-07-01,5488.391
2006-10-01,5653.195
2007-01-01,5766.416
2007-04-01,5967.828
2007-07-01,6154.177
2007-10-01,6323.235
2008-01-01,6436.504
2008-04-01,6563.113
2008-07-01,6622.027
2008-10-01,6570.513
2009-01-01,6508.084
2009-04-01,6462.877
2009-07-01,6343.241
2009-10-01,6167.895
2010-01-01,6149.775
2010-04-01,6068.875
2010-07-01,6122.806
2010-10-01,6063.845
2011-01-01,6107.593
2011-04-01,6179.523
2011-07-01,6278.414
2011-10-01,6382.635
2012-01-01,6424.485
2012-04-01,6473.741
2012-07-01,6590.46
2012-10-01,6716.965
2013-01-01,6766.187
2013-04-01,6875.037
2013-07-01,7024.104
2013-10-01,7077.696
2014-01-01,7204.885
2014-04-01,7290.169
2014-07-01,7399.905
2014-10-01,7528.101
2015-01-01,7702.956
2015-04-01,7904.532
2015-07-01,7986.691
2015-10-01,8085.183
2016-01-01,8261.975
2016-04-01,8302.957
2016-07-01,8407.856
2016-10-01,8370.013
2017-01-01,8529.294
2017-04-01,8632.186
2017-07-01,8705.171
2017-10-01,8853.728
2018-01-01,8944.518
2018-04-01,9292.563
2018-07-01,9373.272
2018-10-01,9443.604
2019-01-01,9668.006
2019-04-01,9783.091
2019-07-01,9892.761
2019-10-01,9891.947
2020-01-01,10547.536
