DATE,TLBSNNB
1945-10-01,14.90
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,19.129
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,21.915
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,24.421
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,26.064
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,30.438
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,34.061
1952-01-01,35.238
1952-04-01,36.462
1952-07-01,37.216
1952-10-01,37.149
1953-01-01,38.476
1953-04-01,39.428
1953-07-01,40.265
1953-10-01,38.441
1954-01-01,40.248
1954-04-01,41.709
1954-07-01,43.537
1954-10-01,42.743
1955-01-01,44.371
1955-04-01,46.507
1955-07-01,48.238
1955-10-01,48.105
1956-01-01,49.768
1956-04-01,51.473
1956-07-01,52.977
1956-10-01,52.127
1957-01-01,53.403
1957-04-01,54.167
1957-07-01,54.997
1957-10-01,54.867
1958-01-01,56.593
1958-04-01,58.115
1958-07-01,59.482
1958-10-01,59.751
1959-01-01,61.893
1959-04-01,64.284
1959-07-01,66.193
1959-10-01,65.423
1960-01-01,68.153
1960-04-01,69.574
1960-07-01,70.998
1960-10-01,70.786
1961-01-01,73.662
1961-04-01,75.106
1961-07-01,76.974
1961-10-01,77.013
1962-01-01,79.514
1962-04-01,81.68
1962-07-01,83.601
1962-10-01,84.489
1963-01-01,86.886
1963-04-01,89.247
1963-07-01,90.864
1963-10-01,91.777
1964-01-01,94.139
1964-04-01,96.989
1964-07-01,99.054
1964-10-01,99.525
1965-01-01,102.216
1965-04-01,105.239
1965-07-01,107.522
1965-10-01,108.535
1966-01-01,112.093
1966-04-01,114.624
1966-07-01,116.289
1966-10-01,117.021
1967-01-01,118.804
1967-04-01,122.211
1967-07-01,124.923
1967-10-01,127.282
1968-01-01,126.918
1968-04-01,130.958
1968-07-01,133.854
1968-10-01,136.167
1969-01-01,139.467
1969-04-01,145.033
1969-07-01,149.389
1969-10-01,152.153
1970-01-01,152.976
1970-04-01,158.266
1970-07-01,163.246
1970-10-01,166.741
1971-01-01,173.287
1971-04-01,181.161
1971-07-01,187.395
1971-10-01,193.494
1972-01-01,199.773
1972-04-01,211.19
1972-07-01,219.777
1972-10-01,230.184
1973-01-01,244.929
1973-04-01,260.566
1973-07-01,269.985
1973-10-01,276.029
1974-01-01,288.752
1974-04-01,303.549
1974-07-01,315.702
1974-10-01,323.53
1975-01-01,330.475
1975-04-01,338.308
1975-07-01,343.658
1975-10-01,349.259
1976-01-01,357.888
1976-04-01,366.948
1976-07-01,375.755
1976-10-01,384.189
1977-01-01,396.851
1977-04-01,410.111
1977-07-01,421.272
1977-10-01,431.59
1978-01-01,444.535
1978-04-01,462.888
1978-07-01,480.974
1978-10-01,498.116
1979-01-01,515.329
1979-04-01,543.768
1979-07-01,568.057
1979-10-01,590.651
1980-01-01,612.746
1980-04-01,634.023
1980-07-01,652.875
1980-10-01,670.845
1981-01-01,689.094
1981-04-01,708.572
1981-07-01,724.203
1981-10-01,739.975
1982-01-01,757.994
1982-04-01,786.361
1982-07-01,812.594
1982-10-01,831.399
1983-01-01,851.532
1983-04-01,873.708
1983-07-01,894.881
1983-10-01,918.235
1984-01-01,948.091
1984-04-01,982.998
1984-07-01,1017.458
1984-10-01,1047.779
1985-01-01,1078.995
1985-04-01,1115.104
1985-07-01,1144.62
1985-10-01,1151.102
1986-01-01,1160.566
1986-04-01,1180.163
1986-07-01,1196.944
1986-10-01,1213.984
1987-01-01,1229.643
1987-04-01,1242.691
1987-07-01,1255.242
1987-10-01,1266.364
1988-01-01,1293.767
1988-04-01,1322.108
1988-07-01,1351.899
1988-10-01,1381.176
1989-01-01,1400.276
1989-04-01,1422.304
1989-07-01,1442.093
1989-10-01,1461.159
1990-01-01,1465.69
1990-04-01,1465.822
1990-07-01,1463.629
1990-10-01,1452.87
1991-01-01,1449.208
1991-04-01,1449.807
1991-07-01,1434.973
1991-10-01,1430.609
1992-01-01,1430.01
1992-04-01,1428.363
1992-07-01,1423.17
1992-10-01,1425.65
1993-01-01,1417.673
1993-04-01,1415.612
1993-07-01,1410.293
1993-10-01,1410.906
1994-01-01,1414.616
1994-04-01,1425.526
1994-07-01,1437.367
1994-10-01,1449.411
1995-01-01,1467.497
1995-04-01,1483.112
1995-07-01,1501.972
1995-10-01,1520.92
1996-01-01,1551.246
1996-04-01,1587.165
1996-07-01,1620.455
1996-10-01,1657.368
1997-01-01,1703.218
1997-04-01,1754.994
1997-07-01,1803.359
1997-10-01,1852.506
1998-01-01,1925.172
1998-04-01,2002.932
1998-07-01,2080.934
1998-10-01,2158.405
1999-01-01,2226.021
1999-04-01,2301.217
1999-07-01,2382.0
1999-10-01,2470.191
2000-01-01,2550.702
2000-04-01,2648.477
2000-07-01,2716.77
2000-10-01,2799.017
2001-01-01,2848.701
2001-04-01,2907.412
2001-07-01,2958.311
2001-10-01,3016.147
2002-01-01,3061.8
2002-04-01,3114.154
2002-07-01,3163.28
2002-10-01,3213.306
2003-01-01,3231.679
2003-04-01,3248.103
2003-07-01,3263.606
2003-10-01,3283.657
2004-01-01,3378.268
2004-04-01,3463.175
2004-07-01,3548.759
2004-10-01,3638.842
2005-01-01,3770.618
2005-04-01,3906.321
2005-07-01,4041.332
2005-10-01,4181.823
2006-01-01,4326.957
2006-04-01,4472.836
2006-07-01,4616.766
2006-10-01,4765.745
2007-01-01,4912.563
2007-04-01,5058.297
2007-07-01,5203.332
2007-10-01,5351.115
2008-01-01,5474.09
2008-04-01,5584.772
2008-07-01,5691.241
2008-10-01,5795.139
2009-01-01,5791.805
2009-04-01,5771.605
2009-07-01,5751.747
2009-10-01,5732.032
2010-01-01,5713.367
2010-04-01,5701.471
2010-07-01,5691.482
2010-10-01,5673.843
2011-01-01,5663.643
2011-04-01,5656.308
2011-07-01,5648.382
2011-10-01,5644.942
2012-01-01,5702.294
2012-04-01,5765.477
2012-07-01,5826.405
2012-10-01,5887.725
2013-01-01,5930.006
2013-04-01,5977.837
2013-07-01,6025.211
2013-10-01,6074.389
2014-01-01,6162.353
2014-04-01,6257.908
2014-07-01,6352.602
2014-10-01,6453.59
2015-01-01,6514.342
2015-04-01,6581.04
2015-07-01,6645.876
2015-10-01,6712.985
2016-01-01,6874.186
2016-04-01,7043.46
2016-07-01,7211.686
2016-10-01,7379.05
2017-01-01,7520.626
2017-04-01,7668.988
2017-07-01,7815.068
2017-10-01,7966.52
2018-01-01,8053.152
2018-04-01,8201.34
2018-07-01,8274.607
2018-10-01,8477.781
2019-01-01,8577.734
2019-04-01,8674.192
2019-07-01,8801.397
2019-10-01,8929.364
2020-01-01,9131.221
