DATE,CCLBSHNO
1945-10-01,6.80
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,9.777
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,13.298
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,16.332
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,19.374
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,23.947
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,25.35
1952-01-01,24.597
1952-04-01,26.878
1952-07-01,27.965
1952-10-01,30.522
1953-01-01,30.901
1953-04-01,32.672
1953-07-01,33.354
1953-10-01,34.614
1954-01-01,32.744
1954-04-01,34.006
1954-07-01,34.242
1954-10-01,35.963
1955-01-01,35.702
1955-04-01,38.755
1955-07-01,40.543
1955-10-01,42.949
1956-01-01,42.251
1956-04-01,44.281
1956-07-01,44.978
1956-10-01,46.58
1957-01-01,45.242
1957-04-01,47.223
1957-07-01,47.971
1957-10-01,49.217
1958-01-01,46.775
1958-04-01,47.704
1958-07-01,47.94
1958-10-01,49.49
1959-01-01,48.991
1959-04-01,51.878
1959-07-01,53.918
1959-10-01,57.213
1960-01-01,55.757
1960-04-01,58.622
1960-07-01,59.59
1960-10-01,61.248
1961-01-01,59.339
1961-04-01,60.597
1961-07-01,61.082
1961-10-01,63.435
1962-01-01,62.038
1962-04-01,65.435
1962-07-01,66.626
1962-10-01,69.344
1963-01-01,68.935
1963-04-01,72.217
1963-07-01,74.362
1963-10-01,77.87
1964-01-01,78.041
1964-04-01,81.812
1964-07-01,84.142
1964-10-01,87.352
1965-01-01,87.645
1965-04-01,92.243
1965-07-01,94.391
1965-10-01,97.489
1966-01-01,97.096
1966-04-01,100.205
1966-07-01,100.989
1966-10-01,103.422
1967-01-01,101.348
1967-04-01,104.131
1967-07-01,105.544
1967-10-01,108.567
1968-01-01,107.272
1968-04-01,111.404
1968-07-01,114.16
1968-10-01,119.324
1969-01-01,118.884
1969-04-01,123.675
1969-07-01,125.813
1969-10-01,129.231
1970-01-01,126.663
1970-04-01,129.421
1970-07-01,131.424
1970-10-01,133.66
1971-01-01,134.072
1971-04-01,138.912
1971-07-01,143.465
1971-10-01,149.243
1972-01-01,148.847
1972-04-01,156.222
1972-07-01,161.529
1972-10-01,168.757
1973-01-01,171.528
1973-04-01,180.398
1973-07-01,186.695
1973-10-01,192.98
1974-01-01,190.46
1974-04-01,196.777
1974-07-01,201.241
1974-10-01,201.926
1975-01-01,195.912
1975-04-01,195.933
1975-07-01,201.183
1975-10-01,206.996
1976-01-01,204.908
1976-04-01,213.148
1976-07-01,220.688
1976-10-01,228.961
1977-01-01,229.155
1977-04-01,242.048
1977-07-01,252.953
1977-10-01,264.892
1978-01-01,266.971
1978-04-01,284.526
1978-07-01,298.022
1978-10-01,311.305
1979-01-01,313.819
1979-04-01,327.319
1979-07-01,341.528
1979-10-01,354.616
1980-01-01,349.662
1980-04-01,345.637
1980-07-01,350.336
1980-10-01,358.044
1981-01-01,353.902
1981-04-01,361.61
1981-07-01,371.928
1981-10-01,377.882
1982-01-01,373.537
1982-04-01,380.887
1982-07-01,386.815
1982-10-01,396.718
1983-01-01,391.91
1983-04-01,403.838
1983-07-01,420.612
1983-10-01,444.878
1984-01-01,452.01
1984-04-01,479.799
1984-07-01,501.839
1984-10-01,526.584
1985-01-01,536.023
1985-04-01,559.592
1985-07-01,585.905
1985-10-01,610.574
1986-01-01,606.799
1986-04-01,627.891
1986-07-01,649.888
1986-10-01,666.355
1987-01-01,644.317
1987-04-01,660.313
1987-07-01,679.637
1987-10-01,698.64
1988-01-01,693.732
1988-04-01,710.128
1988-07-01,725.838
1988-10-01,745.206
1989-01-01,753.193
1989-04-01,769.617
1989-07-01,784.207
1989-10-01,809.285
1990-01-01,792.32
1990-04-01,798.712
1990-07-01,812.302
1990-10-01,824.391
1991-01-01,802.207
1991-04-01,801.306
1991-07-01,802.50
1991-10-01,815.581
1992-01-01,793.353
1992-04-01,792.332
1992-07-01,801.933
1992-10-01,824.769
1993-01-01,807.262
1993-04-01,818.662
1993-07-01,842.668
1993-10-01,886.169
1994-01-01,883.876
1994-04-01,918.58
1994-07-01,959.953
1994-10-01,1021.168
1995-01-01,1024.546
1995-04-01,1063.126
1995-07-01,1109.599
1995-10-01,1168.16
1996-01-01,1162.207
1996-04-01,1196.579
1996-07-01,1229.847
1996-10-01,1273.878
1997-01-01,1254.175
1997-04-01,1278.038
1997-07-01,1305.805
1997-10-01,1344.165
1998-01-01,1324.043
1998-04-01,1367.744
1998-07-01,1400.718
1998-10-01,1441.272
1999-01-01,1442.398
1999-04-01,1471.581
1999-07-01,1511.895
1999-10-01,1553.622
2000-01-01,1553.765
2000-04-01,1601.771
2000-07-01,1667.073
2000-10-01,1741.267
2001-01-01,1749.724
2001-04-01,1784.249
2001-07-01,1814.351
2001-10-01,1891.827
2002-01-01,1883.516
2002-04-01,1917.644
2002-07-01,1951.608
2002-10-01,1997.008
2003-01-01,1989.123
2003-04-01,2021.93
2003-07-01,2059.675
2003-10-01,2102.932
2004-01-01,2096.472
2004-04-01,2114.539
2004-07-01,2164.875
2004-10-01,2220.119
2005-01-01,2204.974
2005-04-01,2232.389
2005-07-01,2278.385
2005-10-01,2320.555
2006-01-01,2337.585
2006-04-01,2349.611
2006-07-01,2411.441
2006-10-01,2456.716
2007-01-01,2440.172
2007-04-01,2476.966
2007-07-01,2555.552
2007-10-01,2609.477
2008-01-01,2602.008
2008-04-01,2620.453
2008-07-01,2643.813
2008-10-01,2643.789
2009-01-01,2578.142
2009-04-01,2548.873
2009-07-01,2558.711
2009-10-01,2555.017
2010-01-01,2493.057
2010-04-01,2478.453
2010-07-01,2503.726
2010-10-01,2646.811
2011-01-01,2628.37
2011-04-01,2653.137
2011-07-01,2702.314
2011-10-01,2756.393
2012-01-01,2745.269
2012-04-01,2790.681
2012-07-01,2850.737
2012-10-01,2913.229
2013-01-01,2914.139
2013-04-01,2960.549
2013-07-01,3030.719
2013-10-01,3090.925
2014-01-01,3097.355
2014-04-01,3164.542
2014-07-01,3243.56
2014-10-01,3311.893
2015-01-01,3296.289
2015-04-01,3370.404
2015-07-01,3454.063
2015-10-01,3390.629
2016-01-01,3398.827
2016-04-01,3465.102
2016-07-01,3549.83
2016-10-01,3620.76
2017-01-01,3615.17
2017-04-01,3671.409
2017-07-01,3731.521
2017-10-01,3813.046
2018-01-01,3794.909
2018-04-01,3839.699
2018-07-01,3927.134
2018-10-01,3998.253
2019-01-01,3988.643
2019-04-01,4040.897
2019-07-01,4117.377
2019-10-01,4180.89
2020-01-01,4146.363
