DATE,TCMILBSHNO
1945-10-01,29.442
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,36.067
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,44.913
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,53.423
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,61.273
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,74.845
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,83.447
1952-01-01,84.061
1952-04-01,88.204
1952-07-01,91.189
1952-10-01,95.595
1953-01-01,97.869
1953-04-01,102.319
1953-07-01,104.806
1953-10-01,108.158
1954-01-01,107.988
1954-04-01,111.763
1954-07-01,115.171
1954-10-01,120.453
1955-01-01,123.626
1955-04-01,130.685
1955-07-01,135.989
1955-10-01,141.563
1956-01-01,143.247
1956-04-01,148.421
1956-07-01,151.718
1956-10-01,156.401
1957-01-01,157.484
1957-04-01,162.474
1957-07-01,165.542
1957-10-01,168.575
1958-01-01,167.641
1958-04-01,171.149
1958-07-01,174.659
1958-10-01,180.371
1959-01-01,182.567
1959-04-01,189.505
1959-07-01,195.611
1959-10-01,202.315
1960-01-01,203.148
1960-04-01,209.907
1960-07-01,214.461
1960-10-01,219.861
1961-01-01,220.584
1961-04-01,226.654
1961-07-01,230.869
1961-10-01,237.901
1962-01-01,239.141
1962-04-01,246.172
1962-07-01,252.328
1962-10-01,259.752
1963-01-01,262.568
1963-04-01,271.958
1963-07-01,279.337
1963-10-01,288.211
1964-01-01,292.001
1964-04-01,301.505
1964-07-01,308.222
1964-10-01,317.13
1965-01-01,320.497
1965-04-01,329.929
1965-07-01,336.667
1965-10-01,345.863
1966-01-01,348.849
1966-04-01,358.365
1966-07-01,362.093
1966-10-01,368.393
1967-01-01,368.006
1967-04-01,375.10
1967-07-01,380.913
1967-10-01,402.322
1968-01-01,393.697
1968-04-01,406.261
1968-07-01,413.578
1968-10-01,426.692
1969-01-01,425.24
1969-04-01,436.394
1969-07-01,441.993
1969-10-01,453.272
1970-01-01,445.469
1970-04-01,451.801
1970-07-01,458.431
1970-10-01,467.163
1971-01-01,469.639
1971-04-01,483.064
1971-07-01,495.415
1971-10-01,511.31
1972-01-01,518.277
1972-04-01,537.901
1972-07-01,553.025
1972-10-01,571.267
1973-01-01,583.239
1973-04-01,601.75
1973-07-01,620.571
1973-10-01,636.677
1974-01-01,640.514
1974-04-01,660.692
1974-07-01,678.739
1974-10-01,691.472
1975-01-01,690.577
1975-04-01,704.331
1975-07-01,724.07
1975-10-01,747.477
1976-01-01,756.712
1976-04-01,783.379
1976-07-01,808.3
1976-10-01,836.261
1977-01-01,852.727
1977-04-01,891.184
1977-07-01,929.088
1977-10-01,966.509
1978-01-01,988.956
1978-04-01,1038.797
1978-07-01,1085.944
1978-10-01,1128.024
1979-01-01,1155.013
1979-04-01,1202.081
1979-07-01,1252.102
1979-10-01,1296.909
1980-01-01,1325.355
1980-04-01,1343.148
1980-07-01,1378.505
1980-10-01,1420.202
1981-01-01,1428.866
1981-04-01,1465.475
1981-07-01,1495.81
1981-10-01,1526.567
1982-01-01,1530.208
1982-04-01,1554.07
1982-07-01,1563.669
1982-10-01,1597.908
1983-01-01,1590.371
1983-04-01,1640.797
1983-07-01,1697.873
1983-10-01,1759.608
1984-01-01,1791.459
1984-04-01,1855.999
1984-07-01,1911.347
1984-10-01,1977.678
1985-01-01,2051.338
1985-04-01,2125.961
1985-07-01,2216.808
1985-10-01,2329.784
1986-01-01,2353.403
1986-04-01,2418.96
1986-07-01,2505.5
1986-10-01,2592.292
1987-01-01,2594.993
1987-04-01,2687.323
1987-07-01,2764.686
1987-10-01,2802.014
1988-01-01,2846.192
1988-04-01,2930.968
1988-07-01,3010.894
1988-10-01,3084.161
1989-01-01,3124.217
1989-04-01,3207.88
1989-07-01,3287.453
1989-10-01,3365.603
1990-01-01,3430.883
1990-04-01,3500.7
1990-07-01,3561.13
1990-10-01,3624.019
1991-01-01,3647.565
1991-04-01,3710.694
1991-07-01,3750.629
1991-10-01,3832.141
1992-01-01,3850.925
1992-04-01,3893.461
1992-07-01,3959.68
1992-10-01,4031.214
1993-01-01,4036.724
1993-04-01,4102.484
1993-07-01,4186.849
1993-10-01,4278.406
1994-01-01,4309.058
1994-04-01,4392.83
1994-07-01,4480.294
1994-10-01,4599.038
1995-01-01,4626.175
1995-04-01,4715.287
1995-07-01,4825.912
1995-10-01,4917.704
1996-01-01,4986.088
1996-04-01,5083.954
1996-07-01,5179.853
1996-10-01,5277.184
1997-01-01,5316.602
1997-04-01,5410.425
1997-07-01,5528.857
1997-10-01,5622.705
1998-01-01,5677.668
1998-04-01,5815.776
1998-07-01,5931.115
1998-10-01,6077.574
1999-01-01,6162.242
1999-04-01,6315.832
1999-07-01,6474.833
1999-10-01,6644.044
2000-01-01,6771.098
2000-04-01,6918.762
2000-07-01,7098.891
2000-10-01,7239.674
2001-01-01,7286.692
2001-04-01,7482.364
2001-07-01,7736.307
2001-10-01,7862.206
2002-01-01,7989.402
2002-04-01,8173.686
2002-07-01,8384.094
2002-10-01,8627.359
2003-01-01,8810.944
2003-04-01,9199.332
2003-07-01,9457.298
2003-10-01,9709.265
2004-01-01,9907.857
2004-04-01,10218.937
2004-07-01,10489.868
2004-10-01,10857.019
2005-01-01,11066.148
2005-04-01,11394.216
2005-07-01,11741.323
2005-10-01,12031.888
2006-01-01,12384.979
2006-04-01,12723.882
2006-07-01,13050.268
2006-10-01,13317.204
2007-01-01,13486.846
2007-04-01,13785.759
2007-07-01,14030.595
2007-10-01,14240.342
2008-01-01,14355.915
2008-04-01,14282.946
2008-07-01,14421.458
2008-10-01,14109.388
2009-01-01,13997.477
2009-04-01,13967.735
2009-07-01,13962.317
2009-10-01,13950.066
2010-01-01,13820.45
2010-04-01,13765.846
2010-07-01,13714.744
2010-10-01,13734.655
2011-01-01,13691.871
2011-04-01,13638.012
2011-07-01,13579.973
2011-10-01,13585.401
2012-01-01,13537.935
2012-04-01,13498.585
2012-07-01,13539.125
2012-10-01,13585.581
2013-01-01,13548.521
2013-04-01,13561.268
2013-07-01,13641.604
2013-10-01,13723.614
2014-01-01,13678.538
2014-04-01,13801.358
2014-07-01,13905.358
2014-10-01,13972.479
2015-01-01,13924.393
2015-04-01,14058.987
2015-07-01,14121.892
2015-10-01,14146.738
2016-01-01,14140.843
2016-04-01,14279.993
2016-07-01,14468.99
2016-10-01,14572.821
2017-01-01,14623.176
2017-04-01,14787.489
2017-07-01,14924.557
2017-10-01,15135.999
2018-01-01,15168.706
2018-04-01,15303.968
2018-07-01,15483.784
2018-10-01,15612.658
2019-01-01,15611.677
2019-04-01,15784.666
2019-07-01,15962.356
2019-10-01,16122.038
2020-01-01,16200.52
